Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BEN,638,Benin,Inflation,Headline Consumer Price Inflation,6.3,2.8,3.9,6.9,14.4,-34.4,8.3,9.9,6.8,10.3,9.6,0.8,4.1,-6.1,10.3,1.2,0.4,-1.3,3.4,-0.2,1.1,2.1,5.9,0.4,38.5,14.5,4.9,3.8,5.8,0.3,4.2,4.0,2.4,1.5,0.9,5.4,3.8,1.3,7.9,0.4,2.2,2.7,6.7,0.9,-1.0,0.3,-0.9,1.8,0.8,-0.9,3.0,5.9,1.4
BFA,748,Burkina Faso,Inflation,Headline Consumer Price Inflation,1.8,2.1,-2.9,7.6,8.7,18.8,-8.4,30.0,8.3,15.0,12.3,7.6,12.1,8.3,4.8,7.1,-2.7,-2.8,4.2,-0.3,-0.8,2.5,-2.0,0.6,24.7,7.8,6.1,2.9,4.9,-1.1,-0.2,4.7,2.3,2.0,-0.4,6.4,2.3,-0.2,10.7,0.9,-0.6,2.8,3.8,0.5,-0.3,0.9,-0.2,0.4,2.0,-3.2,1.9,3.8,14.3
BGD,513,Bangladesh,Inflation,Headline Consumer Price Inflation,3.5,-0.6,45.3,45.0,54.7,16.6,-2.4,9.3,17.4,13.6,15.4,14.5,12.9,9.5,10.4,10.5,10.2,10.8,9.7,8.7,10.5,8.3,3.6,3.0,6.2,10.1,2.5,5.0,8.6,6.2,2.5,1.9,3.7,5.4,6.1,7.0,6.8,9.1,8.9,5.4,8.2,10.3,6.5,7.5,7.0,6.2,5.5,5.6,5.6,5.5,5.7,5.3,7.7
BGR,918,Bulgaria,Inflation,Headline Consumer Price Inflation,-0.4,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.8,2.8,2.8,2.7,2.7,2.5,6.4,23.9,333.5,91.3,72.8,96.9,61.5,125.5,1037.5,17.8,2.6,10.3,7.4,5.9,2.4,6.1,5.0,7.3,8.4,12.3,2.7,2.4,4.2,3.0,0.9,-1.4,-0.1,-0.8,1.2,2.8,2.5,1.7,2.8,15.3
BHR,419,Bahrain,Inflation,Headline Consumer Price Inflation,1.6,5.8,5.1,14.3,24.4,16.2,22.5,17.7,15.8,2.2,3.8,11.4,8.7,3.2,0.0,-2.4,-2.5,-1.7,0.2,1.2,1.3,0.9,-0.3,2.6,4.0,3.1,-0.2,4.6,-0.4,-1.3,-0.7,-1.2,-0.5,1.7,2.2,2.6,2.0,3.3,3.5,2.8,2.0,-0.4,2.8,3.3,2.7,1.8,2.8,1.4,2.1,1.0,-2.3,-0.6,3.6
BHS,313,"Bahamas, The",Inflation,Headline Consumer Price Inflation,6.2,4.6,6.8,5.5,13.1,10.4,4.3,3.2,6.1,9.1,12.2,11.0,6.1,4.0,4.0,4.6,5.4,6.0,4.1,5.4,4.6,7.3,5.6,2.7,1.4,2.0,1.3,0.6,1.2,1.1,1.7,2.4,1.5,3.7,1.2,1.8,2.0,2.4,4.4,1.7,1.6,3.2,2.0,0.7,1.5,1.9,-0.3,1.6,2.2,1.3,0.0,2.9,5.6
BIH,963,Bosnia and Herzegovina,Inflation,Headline Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,-11.7,5.7,-0.3,2.8,5.0,4.6,0.3,0.5,0.3,3.6,6.1,1.5,7.4,-0.4,2.2,3.7,2.1,-0.1,-0.9,-1.0,-1.1,0.8,1.3,0.6,-1.1,2.0,14.0
BLR,913,Belarus,Inflation,Headline Consumer Price Inflation,0.0,-0.4,-0.2,0.0,-0.1,0.1,0.1,0.2,0.9,1.2,1.1,1.2,3.1,1.0,-0.7,0.5,2.3,1.6,0.0,1.8,4.6,94.2,970.7,1190.3,2220.9,685.2,51.7,64.1,73.3,294.6,167.6,60.8,42.7,28.5,18.2,10.4,7.0,8.3,14.7,12.8,7.7,53.2,59.5,18.3,18.1,13.5,11.8,6.0,4.9,5.6,5.5,9.5,15.2
BLZ,339,Belize,Inflation,Headline Consumer Price Inflation,21.4,18.6,20.7,67.0,20.8,20.8,-2.9,12.1,4.9,-11.8,7.1,11.2,6.8,5.0,3.4,4.2,0.8,2.0,5.3,0.0,2.0,3.2,2.4,1.5,2.6,2.9,6.4,1.0,-0.8,-1.2,0.6,1.1,2.2,2.6,3.1,3.7,4.2,2.3,6.4,-1.1,0.9,1.7,1.3,0.5,1.2,-0.9,0.7,1.1,0.2,0.2,0.1,3.3,6.3
BOL,218,Bolivia,Inflation,Headline Consumer Price Inflation,4.0,0.0,5.6,34.2,41.2,9.7,12.7,7.9,6.3,20.6,48.8,32.2,126.4,273.4,1289.5,11702.8,273.6,14.4,16.0,15.2,17.2,21.4,12.0,8.5,7.9,10.2,12.4,4.7,7.7,2.2,4.6,1.6,0.9,3.3,4.4,5.4,2.3,8.7,14.0,3.3,2.5,9.9,4.5,5.7,5.8,4.1,3.6,2.8,2.3,1.8,0.9,0.7,1.7
BRA,223,Brazil,Inflation,Headline Consumer Price Inflation,22.3,20.1,16.5,12.6,27.6,28.9,42.0,43.7,38.7,53.9,90.2,101.7,100.5,135.0,192.1,226.0,147.1,228.3,629.1,1430.7,2947.7,432.8,952.0,1927.4,2075.9,66.0,15.8,6.9,3.2,4.9,7.0,6.8,8.5,14.7,6.6,6.9,4.2,3.6,5.7,4.9,5.0,6.6,5.4,6.2,6.3,9.0,8.7,3.4,3.7,3.7,3.2,8.3,9.3
BRB,316,Barbados,Inflation,Headline Consumer Price Inflation,7.3,7.5,11.9,16.9,38.9,20.3,5.0,8.4,9.5,13.2,18.5,14.6,10.3,5.3,4.6,4.9,0.2,3.6,4.7,6.3,3.0,6.3,6.0,1.2,0.7,2.8,2.4,7.7,-1.3,1.6,2.4,2.8,0.2,1.6,1.4,6.1,7.3,4.0,8.1,3.6,5.8,9.4,4.5,1.8,1.8,-1.1,1.3,4.4,3.7,4.1,2.9,3.1,9.4
BRN,516,Brunei Darussalam,Inflation,Headline Consumer Price Inflation,0.8,1.0,-3.6,11.9,21.4,3.9,5.9,11.1,6.4,5.5,5.3,9.1,6.4,1.2,3.1,2.3,1.8,1.3,1.2,1.3,2.1,1.6,1.3,4.3,2.4,6.0,2.0,1.7,-0.4,0.0,1.2,0.6,-2.3,0.3,0.9,1.1,0.2,1.0,2.1,1.0,0.2,0.1,0.1,0.4,-0.2,-0.4,-0.7,-0.2,0.2,-0.4,1.9,1.7,3.7
