Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NOR,142,Norway,Inflation,Producer Price Inflation,,,,,,,,,4.04,7.18,13.35,10.52,8.51,6.49,6.92,4.83,-3.40,3.58,4.60,5.37,3.98,2.37,-0.44,-0.99,1.29,2.56,2.17,1.37,0.58,3.07,6.94,-2.92,-3.30,3.59,11.74,16.51,12.83,0.00,22.82,-0.77,18.37,16.28,2.74,0.65,-1.40,-8.10,-8.02,9.28,14.82,-3.57,-10.16,37.75,51.88
NZL,196,New Zealand,Inflation,Producer Price Inflation,5.95,8.07,6.82,12.77,8.09,13.22,22.25,16.40,11.46,17.78,22.88,16.89,15.02,5.50,7.04,15.42,5.75,7.92,5.23,7.07,4.68,0.81,2.06,2.45,1.35,0.84,0.57,0.41,0.64,1.00,7.65,5.98,0.13,-0.77,1.88,4.65,6.21,2.38,10.72,-1.54,2.72,4.70,0.98,1.54,0.07,-2.16,0.48,4.50,4.21,2.24,21.30,5.71,9.35
OMN,449,Oman,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.33,-30.01,23.80,23.33,5.48,-2.01,-2.25,-22.67,-18.96,13.62,22.11,-3.36,-13.65,16.53,42.51
PAK,564,Pakistan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,8.44,8.72,8.50,8.23,24.05,9.77,19.19,18.83,7.10,7.79,4.77,-2.52,1.90,4.87,12.13,14.18,5.81,18.03,31.18
PER,293,Peru,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,58.33,657.89,2494.10,6737.18,306.29,57.19,47.55,17.89,10.52,9.44,7.36,7.30,4.91,4.33,1.39,-1.05,1.70,5.21,2.29,3.19,2.49,8.91,-1.76,1.83,6.34,1.77,0.38,1.83,1.77,1.58,1.15,1.63,1.18,0.22,9.35,10.89
PHL,566,Philippines,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,4.12,4.24,4.08,3.53,8.64,7.02,12.47,14.11,2.03,8.64,12.03,9.04,11.17,-0.72,4.07,-1.37,-4.93,0.92,-0.58,-7.57,-0.92,-6.72,-4.77,-0.93,0.68,1.63,-4.04,-1.78,6.50
POL,964,Poland,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,26.52,59.59,218.19,610.12,48.78,27.71,32.25,30.07,25.55,12.77,12.18,7.25,5.54,7.71,1.66,1.16,2.68,7.14,0.72,2.21,2.22,2.25,3.38,2.15,7.49,3.23,-1.31,-1.45,-2.27,-0.28,2.73,2.07,1.43,-0.53,8.04,22.41
PRT,182,Portugal,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,1.68,1.07,,,,,,,,,,,,,,3.02,0.52,0.96,2.64,5.07,4.90,2.28,4.77,-6.34,3.02,5.82,3.72,-0.64,-1.89,-3.26,-2.68,3.34,2.67,0.02,-4.18,8.87,20.50
PRY,288,Paraguay,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,14.90,5.30,14.70,5.82,19.89,26.46,5.78,8.98,7.11,3.68,12.98,-0.32,6.55,12.63,3.29,0.49,2.85,1.94,4.97,3.21,2.70,1.42,2.74,8.64,16.32
QAT,453,Qatar,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.17,-37.93,-22.51,19.29,25.92,-9.48,-28.49,62.08,47.38
ROU,968,Romania,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,240.69,203.58,168.69,140.52,35.11,49.87,143.96,33.18,41.15,49.91,38.08,23.05,19.52,19.10,7.61,6.70,6.37,12.69,2.52,4.37,7.10,5.41,2.09,-0.12,-1.84,-1.79,3.47,5.03,3.95,0.00,14.90,44.71
RUS,922,Russian Federation,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,939.92,336.82,236.47,50.78,15.00,7.03,58.95,46.53,18.12,10.44,16.38,23.36,20.57,12.41,14.09,21.42,-7.19,12.22,17.51,6.36,3.56,6.13,13.82,4.32,7.64,12.15,1.98,-3.76,24.47,12.07
RWA,714,Rwanda,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,-1.68,-0.55,0.44,2.99,8.91,-0.47,10.74,5.06,5.51,12.76
SAU,456,Saudi Arabia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,0.31,-0.59,2.63,-1.30,16.01,1.93,3.48,12.11,7.77
SDN,732,Sudan,Inflation,Producer Price Inflation,6.61,-4.31,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,722,Senegal,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,6.08,7.56,4.62,-2.71,-0.94,-4.49,-4.78,0.42,2.36,0.24,-0.51,10.14,17.18
SGP,576,Singapore,Inflation,Producer Price Inflation,,,,,,-2.99,6.71,5.01,-1.66,18.69,23.41,2.89,-5.22,-3.83,-2.08,-3.72,-14.80,2.23,-1.85,2.23,3.93,-7.36,-6.71,-3.90,-3.43,0.79,-5.21,-8.14,-4.22,-0.47,6.59,-1.02,-6.91,-0.76,4.57,5.67,2.36,-1.56,3.43,-13.45,1.74,5.34,0.35,-3.07,-3.41,-9.16,-5.50,3.83,4.41,-3.32,-6.92,15.22,15.08
SLV,253,El Salvador,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,1.02,-2.01,2.99,6.55,9.07,4.75,4.74,16.59,-11.64,2.95,6.05,4.06,0.85,1.01,-0.11,-0.89,1.27,1.57,0.94,-0.21,3.09,5.70
SRB,942,Serbia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.26,10.68,5.89,9.55,11.91,12.16,6.24,13.03,5.55,12.70,14.75,5.58,3.08,0.93,0.29,-0.42,3.17,2.23,0.63,-1.19,8.62,15.43
SVK,936,Slovakia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,9.98,9.01,4.10,4.49,3.25,3.81,9.80,6.04,2.07,6.30,1.83,3.49,3.26,-1.19,2.21,-6.95,0.53,4.60,1.74,-0.99,-3.42,-2.89,-3.98,2.43,2.52,1.91,-1.52,6.80,29.50
SVN,961,Slovenia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,21.59,17.72,12.72,6.80,6.10,5.98,2.12,8.00,7.12,3.61,1.22,2.58,1.88,2.25,4.19,3.84,-1.33,2.14,4.53,0.87,0.02,-0.61,-0.22,-1.36,2.15,2.07,0.68,-0.24,5.54,19.59
SWE,144,Sweden,Inflation,Producer Price Inflation,,,4.55,11.30,24.78,6.57,8.91,9.53,7.99,11.85,14.08,11.22,12.84,11.12,7.71,5.20,-2.77,2.78,5.32,7.72,4.54,1.37,-1.29,6.25,4.76,7.72,-1.76,1.17,-0.58,1.14,4.86,1.96,-0.07,0.00,0.70,3.99,5.08,3.69,4.36,1.14,1.06,0.38,-0.97,-2.80,1.43,0.01,-0.92,5.20,6.60,2.97,-0.25,10.69,21.19
THA,578,Thailand,Inflation,Producer Price Inflation,-0.46,0.25,7.84,22.92,28.86,3.71,3.94,7.80,7.46,11.21,20.11,9.52,0.90,2.06,-3.09,-0.02,-0.42,5.95,8.20,4.60,3.45,6.79,0.23,-0.42,3.98,6.12,1.83,5.06,12.19,-4.72,3.92,2.50,1.67,4.01,6.72,9.18,7.07,3.22,12.42,-3.80,9.41,5.45,1.02,0.31,0.14,-4.11,-1.18,0.70,0.38,-0.96,-1.60,4.72,10.38
TJK,923,Tajikistan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,339.89,95.66,27.12,45.62,39.06,26.04,9.35,15.27,16.43,7.54,42.68,21.85,20.83,-3.40,38.45,29.95,14.20,3.89,0.88,4.32,6.71,9.32,2.18,1.79,5.45,3.83,11.83
TTO,369,Trinidad and Tobago,Inflation,Producer Price Inflation,,,,,,,,,,,19.37,16.91,13.72,12.50,5.20,4.69,6.55,4.04,6.01,8.89,1.43,0.18,0.82,5.31,5.43,3.53,2.90,1.94,1.42,1.77,,,0.60,0.84,3.52,2.29,4.58,6.93,9.93,4.37,2.70,2.83,4.16,1.91,2.02,2.38,1.18,1.93,,,,,
TUN,744,Tunisia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,3.18,0.38,2.61,3.22,3.09,2.36,2.81,4.12,7.33,3.23,11.71,2.88,2.65,5.82,5.11,1.77,2.05,5.05,1.41,4.60,7.94,5.98,1.86,9.27,
TUR,186,Turkey,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,31.93,70.54,63.98,52.32,55.36,62.09,57.96,121.26,86.02,75.93,81.80,71.83,53.06,51.43,61.63,50.11,22.67,14.56,5.89,8.30,6.31,12.72,1.23,8.52,11.09,6.09,4.48,10.25,5.28,4.30,15.82,27.01,17.56,12.14,43.86,128.47
TWN,528,"Taiwan, China",Inflation,Producer Price Inflation,2.71,0.02,4.47,22.84,40.58,-5.07,2.77,2.77,3.53,13.83,21.54,7.63,-0.19,-1.17,0.47,-2.60,-3.34,-3.25,-1.57,-0.37,-0.60,0.16,-3.67,2.52,2.17,7.37,-1.00,-0.46,0.60,-4.55,1.82,-1.34,0.05,2.48,7.03,0.61,5.64,6.47,5.15,-8.73,5.46,4.32,-1.16,-2.43,-0.57,-8.85,-2.98,0.90,3.63,-2.26,-7.79,9.87,10.52
TZA,738,"Tanzania, United Rep.",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,3.01,6.86,1.26,6.18,7.24,,,
UGA,746,Uganda,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.73,-2.54,3.18,13.15,16.15
UKR,926,Ukraine,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,14400.00,1140.00,488.10,51.83,7.67,13.20,31.13,20.86,8.65,3.05,7.71,20.32,16.71,9.49,19.48,35.56,6.59,20.88,19.00,3.65,-0.05,17.17,35.69,20.92,26.45,17.58,4.14,-1.88,40.82,61.05
URY,298,Uruguay,Inflation,Producer Price Inflation,13.41,21.18,89.84,114.35,79.02,72.38,50.57,50.33,48.58,80.41,41.74,23.45,12.90,73.48,77.38,76.57,67.17,63.22,57.44,73.18,107.68,87.62,58.32,33.37,34.20,37.71,25.02,16.36,9.29,-0.88,6.84,6.58,31.93,38.92,14.69,-2.57,5.92,11.81,16.94,2.11,7.61,15.93,6.43,3.94,10.41,6.83,3.35,1.67,9.67,12.78,10.46,14.42,12.83
USA,111,United States,Inflation,Producer Price Inflation,3.61,3.33,4.41,13.14,18.81,9.25,4.65,6.13,7.77,12.54,14.13,9.13,2.01,1.26,2.38,-0.43,-2.89,2.64,4.02,4.96,3.56,0.22,0.59,1.46,1.30,3.58,2.34,-0.07,-2.48,0.84,5.78,1.11,-2.29,5.35,6.18,7.32,4.67,4.80,9.81,-8.84,4.48,3.87,1.86,1.36,1.58,-0.87,0.42,2.33,2.90,1.69,-2.12,8.95,8.05
UZB,927,Uzbekistan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29,17.42,31.70,43.35,14.80,9.32,16.66
VEN,299,"Venezuela, RB",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,33.33,,41.67,26.47,60.47,142.03,291.62,905.66,169201.78,,,,
VNM,582,Vietnam,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63,18.43,3.44,5.25,3.26,-0.59,-0.61,,,,,,
XKX,967,Kosovo,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.55,1.91,2.39,1.63,2.66,-0.07,0.59,1.35,0.93,-0.58,4.92,9.33
ZAF,199,South Africa,Inflation,Producer Price Inflation,,5.00,6.35,12.44,18.58,16.42,13.14,14.16,9.68,13.12,15.40,13.21,12.70,10.11,8.57,15.50,18.85,14.39,13.94,15.49,11.79,11.33,7.60,6.51,8.79,10.49,8.45,8.14,4.43,4.92,6.66,2.92,0.22,-1.23,7.66,6.04,6.14,2.29,8.08,-5.50,7.08,8.91,4.47,6.00,7.40,3.61,7.08,4.88,5.45,4.62,2.49,7.12,14.38
ZMB,754,Zambia,Inflation,Producer Price Inflation,14.29,0.00,4.17,12.00,10.71,16.13,16.67,26.19,18.87,17.46,17.57,5.75,13.04,23.08,24.22,38.36,106.82,101.32,4.80,91.98,117.04,93.03,131.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
