Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CHL,228,Chile,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98,17.29,6.69,10.51,5.72,23.01,12.17,-6.56,-3.92,-7.75,-1.23,-0.70,9.75,4.88,1.90,2.28,11.54,24.00
CHN,924,China,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,-4.28,-2.91,2.74,-1.30,-2.26,2.34,6.10,5.29,3.63,3.26,7.27,-5.07,6.26,6.44,-1.71,-1.90,-1.88,-5.19,-1.00,6.25,3.59,-0.47,-1.83,1.65,8.74
COG,634,"Congo, Rep.",Inflation,Producer Price Inflation,6.61,0.71,12.77,5.30,15.32,13.97,13.47,,,8.42,14.59,13.33,15.00,7.65,14.53,6.58,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,233,Colombia,Inflation,Producer Price Inflation,8.16,11.47,18.26,27.97,36.00,25.42,22.91,26.71,17.62,27.83,24.19,24.06,25.68,21.72,18.30,24.95,22.02,24.86,28.28,28.22,26.58,27.63,20.08,14.23,17.16,18.13,15.03,15.43,17.32,9.82,13.19,9.40,5.29,9.13,5.16,3.14,4.18,1.02,7.22,1.94,-0.89,8.83,-0.08,-1.28,2.91,3.89,5.40,0.87,5.14,4.34,3.22,8.67,29.56
CRI,238,Costa Rica,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,18.40,5.15,13.11,23.88,16.00,11.60,8.81,10.14,11.56,8.86,7.68,11.68,16.72,15.32,13.91,13.85,25.45,1.74,3.00,9.46,3.77,2.46,4.47,1.29,-1.06,2.32,3.30,2.60,0.14,2.74,8.92
CYP,423,Cyprus,Inflation,Producer Price Inflation,15.99,,,,,,,,,,,,,,,,,,,,-11.24,17.23,,,30.54,,,,,,,2.24,2.22,3.19,4.05,5.24,5.13,3.30,10.93,-1.66,3.74,5.04,6.86,-2.05,-2.83,-5.14,-4.12,3.09,2.33,2.46,-2.52,6.57,22.84
CZE,935,Czech Republic,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,9.22,2.54,6.16,4.77,4.94,4.84,1.02,4.89,2.82,-0.54,-0.33,5.67,3.01,1.57,4.17,4.18,-3.13,1.20,5.52,2.15,0.79,-0.75,-3.20,-3.25,1.84,2.05,2.56,0.11,5.75,24.31
DEU,134,Germany,Inflation,Producer Price Inflation,4.90,4.23,2.65,6.65,13.39,4.64,3.68,2.77,1.15,4.79,7.56,7.83,5.87,1.46,2.89,2.44,-2.52,-2.49,1.25,3.16,1.72,2.39,1.44,0.16,0.60,1.68,-1.22,1.17,-0.40,-1.01,4.32,5.66,-1.83,3.01,1.22,3.23,4.01,1.22,4.14,-3.30,1.85,4.15,1.72,-0.19,-0.54,-0.54,-1.24,1.94,1.86,0.94,-0.76,7.48,23.93
DNK,128,Denmark,Inflation,Producer Price Inflation,7.87,3.48,5.84,14.70,21.66,5.71,8.17,7.94,4.43,8.93,16.75,15.67,10.69,4.98,7.52,2.69,-6.77,-0.18,3.93,5.74,1.07,0.92,-1.11,-0.52,1.18,2.87,1.10,1.87,-0.54,0.49,6.27,3.86,1.90,-0.41,2.39,7.88,7.45,1.94,12.74,-10.38,7.36,8.60,2.30,1.62,-0.99,-3.68,-1.40,2.50,4.30,-0.65,-2.74,13.64,28.88
DZA,612,Algeria,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,3.47,2.02,4.18,3.01,3.75,4.41,3.46,2.41,3.06,9.32,3.38,3.10,2.14,2.65,0.18,1.04,2.25,4.12,1.88,4.08,2.64,,7.43,
ECU,248,Ecuador,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.97,119.10,17.26,4.81,2.91,5.40,4.22,3.10,7.81,11.78,-0.35,6.11,5.48,2.84,1.18,3.86,1.97,0.05,-0.66,1.31,-0.12,-0.96,0.87,6.73
EGY,469,"Egypt, Arab Rep.",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88,21.13,-5.62,12.65,14.72,2.45,3.33,4.34,-3.11,13.75,33.21,24.07,5.03,-7.00,17.32,25.84
