Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note
ECU,248,Ecuador,Inflation,Food Consumer Price Inflation,3.3,6.5,11.1,20.3,32.4,18.6,9.5,15.6,10.3,10.0,11.0,11.1,17.1,77.9,37.0,30.7,23.2,28.7,64.3,88.0,47.4,48.2,54.2,41.8,24.8,21.0,22.2,36.1,39.6,39.1,120.8,31.7,8.2,2.4,1.4,2.7,5.7,3.3,16.8,5.9,4.8,6.7,5.8,1.8,4.5,4.2,2.5,0.5,-1.6,0.0,0.8,-0.9,4.7,,Food and Non-Alcoholic Beverages
EGY,469,"Egypt, Arab Rep.",Inflation,Food Consumer Price Inflation,6.8,5.4,2.8,6.8,16.9,12.2,14.8,14.3,9.6,7.5,26.7,14.2,14.5,18.5,16.6,18.4,24.5,22.6,20.6,25.4,15.9,16.6,8.6,7.4,9.3,10.3,7.6,4.1,3.9,3.8,2.5,1.1,4.2,6.7,5.9,5.0,10.1,13.0,24.0,16.0,19.9,15.5,9.2,12.4,12.3,10.7,16.7,38.7,13.3,7.1,-0.2,4.6,21.0,,Food and Non-alcoholic Beverages
ESP,184,Spain,Inflation,Food Consumer Price Inflation,3.7,7.8,9.2,12.7,14.3,17.0,18.5,23.6,19.1,10.1,9.1,13.6,15.0,10.7,12.6,9.5,10.6,5.0,3.7,7.7,6.5,3.5,3.7,4.1,5.4,4.9,3.4,-0.7,1.1,1.3,2.0,5.9,4.7,4.1,3.9,3.2,4.1,3.7,5.9,-1.1,-0.8,2.1,2.3,2.8,-0.3,1.2,1.4,1.2,1.6,1.0,2.4,1.8,11.6,,Food and non-acoholic beverage
EST,939,Estonia,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,233.0,937.2,73.9,33.3,15.9,18.2,5.5,4.9,-3.8,2.4,8.3,3.0,-1.7,4.2,3.5,5.1,9.3,14.2,-4.0,3.0,9.7,3.8,4.1,0.0,-0.5,0.0,5.7,3.1,3.0,2.1,1.8,19.9,,Food and non-acoholic beverage
ETH,644,Ethiopia,Inflation,Food Consumer Price Inflation,15.3,-0.1,-12.0,12.8,8.6,4.5,41.9,16.7,17.1,18.0,5.2,4.6,6.0,0.7,11.0,25.3,-15.2,-6.1,7.9,6.5,5.2,41.3,11.9,1.4,10.2,12.3,-4.9,1.8,1.8,9.3,-1.1,-15.2,2.6,25.1,3.4,12.8,13.6,22.0,60.0,3.3,1.5,39.2,28.1,5.8,5.4,12.1,6.5,11.4,12.5,18.9,23.1,31.8,36.4,,Food and non-acoholic beverage
FIN,172,Finland,Inflation,Food Consumer Price Inflation,1.5,4.3,9.4,11.9,16.0,20.7,16.3,17.5,4.5,4.2,12.9,12.9,12.3,6.8,7.7,7.2,3.9,2.3,1.7,3.6,3.7,2.9,-0.1,-0.6,0.2,-7.9,-1.8,1.4,1.7,-0.4,1.1,4.4,2.9,0.6,0.7,0.3,1.4,2.1,8.6,2.0,-3.6,6.3,5.2,5.4,0.1,-1.9,-1.1,-0.9,1.9,1.2,1.2,0.6,10.5,,Food and non-acoholic beverage
FJI,819,Fiji,Inflation,Food Consumer Price Inflation,4.2,9.1,11.6,20.2,15.6,12.4,3.2,7.5,5.2,6.0,15.3,12.8,9.3,5.9,4.6,8.3,-1.8,6.1,18.4,10.0,8.2,1.6,-0.4,6.8,0.5,0.7,2.3,4.7,7.7,1.8,-3.2,4.1,0.5,6.2,3.8,1.7,1.8,9.7,11.5,6.7,4.1,10.6,4.3,3.5,1.9,4.8,6.0,-2.2,1.1,4.9,-2.4,6.5,5.8,,Food and non-acoholic beverage
FRA,132,France,Inflation,Food Consumer Price Inflation,6.3,6.0,7.7,9.9,12.5,11.5,11.1,12.8,9.0,9.2,10.4,14.1,13.2,9.5,8.3,5.4,3.4,3.1,2.4,4.3,3.1,2.8,0.4,-0.1,0.8,1.2,1.1,1.8,1.7,0.4,2.2,5.5,2.7,2.3,0.5,0.2,1.7,1.5,5.1,0.1,0.8,2.0,2.9,1.1,-0.8,0.4,0.6,1.1,2.0,2.5,2.0,0.6,7.3,,Food and non-acoholic beverage
GAB,646,Gabon,Inflation,Food Consumer Price Inflation,2.4,6.4,6.1,6.8,7.5,,,,,,,,,,,,5.4,-0.2,-13.3,9.1,11.6,0.4,-16.5,1.7,31.0,7.9,1.0,6.3,3.0,-0.6,0.5,5.0,0.2,1.9,-1.9,0.2,0.9,2.3,7.8,3.7,4.4,4.0,5.7,-0.4,3.0,2.8,-0.1,-0.7,1.9,3.1,1.7,1.4,5.7,,Food and non-acoholic beverage
GBR,112,United Kingdom,Inflation,Food Consumer Price Inflation,6.9,11.5,8.9,15.4,18.0,25.0,19.8,18.8,7.8,12.6,13.6,8.7,7.8,3.7,5.9,4.0,3.3,3.1,3.4,5.6,8.1,5.3,2.1,1.7,0.9,3.6,3.2,-0.2,1.0,0.3,-0.5,3.8,0.8,1.3,0.8,1.5,2.4,4.5,9.2,5.5,3.4,5.5,3.2,3.7,-0.2,-2.6,-2.4,2.3,2.1,10.9,0.7,0.3,10.9,,Food and non-acoholic beverage
GEO,915,Georgia,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,139.9,33.0,4.7,3.9,18.5,1.3,6.6,7.5,7.1,7.7,13.1,11.7,9.8,12.9,4.2,1.8,16.0,-4.5,-0.7,5.1,4.2,1.6,6.8,2.3,8.2,10.6,10.8,16.8,,Food and non-acoholic beverage
GHA,652,Ghana,Inflation,Food Consumer Price Inflation,5.0,12.4,10.2,20.8,15.9,30.8,67.6,150.6,59.4,61.7,52.3,111.1,36.0,144.5,11.0,-11.1,20.3,38.5,34.1,25.1,40.1,9.0,10.4,25.0,25.9,62.2,35.8,20.9,14.8,8.7,11.8,23.2,18.2,24.7,16.6,15.6,9.2,12.2,15.2,15.7,6.1,6.7,6.7,7.3,6.8,7.5,8.7,7.3,7.8,7.9,11.8,10.3,28.8,,Food and non-acoholic beverage
GIN,656,Guinea,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,32.5,27.3,17.7,16.4,12.8,9.3,4.7,7.9,1.5,-0.5,10.1,5.4,4.0,4.5,6.1,21.4,21.2,37.0,42.5,28.5,20.6,7.1,20.4,27.4,15.6,12.6,10.6,11.5,11.5,13.6,13.4,11.4,12.7,15.8,13.3,,Food and non-acoholic beverage
GMB,648,"Gambia, The",Inflation,Food Consumer Price Inflation,8.7,3.1,9.7,6.0,13.3,34.4,19.3,12.5,6.3,5.8,5.2,5.3,8.9,13.7,21.3,17.3,60.1,23.4,12.7,6.9,14.1,8.3,8.5,8.7,-1.2,8.7,1.1,1.4,3.6,4.0,0.2,-0.7,18.1,20.4,16.1,3.1,1.8,7.9,6.0,5.4,6.6,6.4,5.0,6.7,6.8,8.3,8.2,8.7,6.3,6.8,6.6,9.6,12.9,,Food and non-acoholic beverage
GNB,654,Guinea-Bissau,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.5,-2.9,1.0,3.7,0.5,5.9,15.9,-0.2,0.1,7.4,2.8,0.8,-1.3,3.1,2.5,1.7,,,,5.3,9.1,,Food and non-acoholic beverage
GNQ,642,Equatorial Guinea,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,-5.0,-7.3,3.4,40.2,10.9,7.0,7.2,9.1,0.6,1.6,11.5,9.6,6.4,4.4,6.8,6.0,,,,4.7,7.1,3.9,4.6,4.4,1.5,-4.1,1.6,1.0,0.4,4.7,-1.2,5.6,,Food and non-acoholic beverage
GRC,174,Greece,Inflation,Food Consumer Price Inflation,7.7,5.0,3.7,16.2,33.5,11.8,13.8,14.1,14.3,18.7,27.6,30.1,21.1,18.0,18.2,19.5,20.3,12.6,11.1,18.3,20.0,17.8,11.8,9.9,13.3,8.5,7.0,4.2,4.0,2.7,1.9,5.1,5.3,5.0,0.5,0.6,3.7,3.2,5.4,1.9,0.1,3.1,1.5,0.0,-1.7,1.8,-0.2,0.3,0.4,-4.7,1.4,1.4,11.8,,Food and non-acoholic beverage
GRD,328,Grenada,Inflation,Food Consumer Price Inflation,,,,,,,,,,,19.0,21.5,5.2,5.6,4.6,0.2,2.2,-0.2,5.1,8.4,4.0,1.9,0.6,4.0,4.8,5.2,4.5,0.4,1.7,1.4,-0.7,1.8,-0.4,0.7,3.2,4.1,5.6,6.7,14.4,1.4,3.3,4.4,3.0,0.9,0.8,1.0,-2.3,0.6,0.6,0.4,1.0,1.7,,,Food and non-acoholic beverage
GTM,258,Guatemala,Inflation,Food Consumer Price Inflation,4.0,-1.9,0.1,19.3,15.8,14.6,9.6,11.0,4.6,10.3,11.2,11.2,-2.8,2.0,2.0,21.9,36.0,15.4,14.8,13.3,47.1,32.3,7.2,14.5,16.1,8.8,11.5,6.8,4.6,2.2,4.3,10.5,10.5,5.7,10.3,13.2,7.1,9.9,15.1,2.0,3.4,10.7,7.2,8.4,7.5,9.3,9.9,8.9,7.2,7.8,6.4,4.8,8.7,,Food and non-acoholic beverage
GUY,336,Guyana,Inflation,Food Consumer Price Inflation,9.9,1.2,8.8,12.0,26.4,8.4,13.8,8.5,17.2,18.9,12.1,27.6,29.3,20.9,29.7,23.6,8.7,30.0,47.0,70.4,53.2,53.2,24.6,7.1,11.4,17.0,7.6,0.8,3.6,8.8,4.1,0.6,3.9,3.9,4.4,7.5,6.8,15.7,14.7,-0.4,,,,,,,,,,,,,,,Food and non-acoholic beverage
HKG,532,Hong Kong SAR,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,12.0,8.5,6.8,0.6,1.6,5.1,9.6,12.5,10.0,11.4,9.0,7.5,6.8,7.1,3.9,3.6,1.9,-1.9,-2.2,-0.8,-2.1,-1.6,1.1,1.8,1.7,4.3,10.1,1.3,2.3,7.0,5.8,4.4,4.1,3.9,3.4,2.2,3.4,4.9,3.3,1.4,3.7,,Food 
HND,268,Honduras,Inflation,Food Consumer Price Inflation,5.2,3.2,4.7,5.2,17.1,9.4,3.9,11.3,6.1,8.0,19.2,7.3,6.7,5.3,0.3,1.6,2.8,0.6,8.3,12.5,26.5,43.7,6.2,12.7,27.3,28.3,24.7,19.8,11.7,7.9,8.3,8.7,3.9,3.6,6.8,10.0,4.2,9.6,17.2,3.6,1.8,6.1,3.0,5.1,6.7,3.3,1.0,1.6,3.5,2.2,4.7,2.9,12.5,,Food and non-acoholic beverage
HRV,960,Croatia,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,41.6,39.6,45.1,50.0,71.4,91.7,131.9,187.5,1147.8,553.3,122.9,720.6,1357.7,101.1,0.8,3.2,4.4,6.4,0.8,0.3,2.5,0.2,1.6,1.4,4.6,2.5,3.3,10.0,1.6,-1.5,3.5,3.7,3.7,-2.2,0.4,-0.5,2.9,1.0,-0.1,1.9,1.6,14.8,,Food and non-acoholic beverage
HTI,263,Haiti,Inflation,Food Consumer Price Inflation,0.4,7.2,10.0,27.4,12.5,18.6,6.3,7.8,-7.0,15.7,36.4,13.2,0.9,11.0,6.1,11.7,3.3,-18.9,6.4,7.8,22.8,14.6,10.2,27.0,41.2,-4.5,,,9.7,1.9,9.7,15.5,10.3,36.7,28.2,,14.0,8.1,19.7,-2.6,5.0,10.2,6.6,6.5,3.8,9.5,14.7,14.2,13.8,22.2,26.0,19.7,29.0,,Food and non-acoholic beverage
HUN,944,Hungary,Inflation,Food Consumer Price Inflation,1.0,2.0,1.0,4.8,0.5,1.1,10.2,5.5,3.6,10.3,13.4,3.0,5.1,5.0,12.9,6.4,1.9,9.5,16.1,17.7,34.9,20.8,20.5,29.3,23.6,30.8,17.3,17.5,14.2,2.9,9.2,13.7,5.3,2.7,6.5,2.5,7.7,11.5,10.1,4.4,3.1,6.6,5.9,2.7,-0.4,0.9,0.6,2.7,4.2,5.1,7.3,3.4,27.8,,Food and non-acoholic beverage
IDN,536,Indonesia,Inflation,Food Consumer Price Inflation,9.2,2.6,10.4,43.4,41.3,20.6,22.0,10.7,7.8,3.0,17.0,14.8,5.9,9.2,9.9,2.4,8.6,11.0,12.9,8.0,7.2,8.0,7.7,7.0,10.8,13.3,8.1,8.7,92.6,25.0,-4.8,8.4,10.8,1.1,5.9,10.3,14.9,11.0,17.0,7.0,9.4,8.5,5.9,11.8,6.8,7.2,7.2,2.1,4.2,,3.4,2.7,6.3,,"Food, Beverage and Tobacco"
IND,534,India,Inflation,Food Consumer Price Inflation,5.9,3.3,4.5,19.5,27.2,-0.6,-6.0,8.2,3.4,3.0,9.3,12.3,6.7,9.3,8.9,8.3,10.3,9.9,6.2,8.1,10.5,15.7,11.1,12.2,11.2,11.6,4.3,7.9,17.3,-2.4,3.9,1.2,1.4,5.0,4.2,1.9,10.3,10.3,10.1,11.1,10.3,8.6,9.3,12.9,7.1,5.3,5.3,1.8,1.7,3.6,8.7,3.7,6.9,,Food and Beverages
IRL,178,Ireland,Inflation,Food Consumer Price Inflation,7.6,7.4,11.8,16.5,14.7,21.5,19.0,16.1,9.6,14.7,9.6,14.2,12.4,7.3,9.9,3.2,4.2,2.6,2.6,4.8,1.4,0.7,1.1,-0.3,3.3,2.8,1.7,1.5,4.1,3.0,3.1,6.5,3.5,1.5,-0.3,-0.7,1.4,2.8,6.5,-3.5,-4.6,1.2,0.6,1.1,-2.2,-2.1,-1.3,-2.1,-2.0,-0.7,-1.4,-0.3,6.9,,Food and non-acoholic beverage
IRN,429,"Iran, Islamic Rep.",Inflation,Food Consumer Price Inflation,0.6,6.6,8.6,6.9,15.9,12.2,6.8,18.9,18.8,22.5,28.5,29.7,16.9,18.4,9.0,5.3,26.2,23.6,13.7,20.1,3.0,19.0,33.7,21.3,31.8,61.2,25.0,10.2,23.4,24.3,12.0,6.6,16.3,17.7,13.0,13.0,10.3,20.6,31.0,11.9,12.4,26.1,38.0,50.1,13.7,10.5,6.6,12.5,23.1,55.7,27.8,59.2,60.5,,Food and non-acoholic beverage
IRQ,433,Iraq,Inflation,Food Consumer Price Inflation,3.9,4.2,5.2,5.6,10.1,9.7,11.2,8.2,5.6,,,,25.0,13.4,5.7,2.4,0.7,23.1,23.5,7.1,64.5,260.8,72.3,215.5,500.8,427.2,-22.9,15.5,11.2,0.0,-3.1,8.2,9.1,16.5,8.7,22.3,29.9,13.9,10.9,7.6,3.1,3.1,,,,2.3,-3.1,-1.8,0.2,0.0,-0.5,4.9,6.2,,Food and non-acoholic beverage
ISL,176,Iceland,Inflation,Food Consumer Price Inflation,15.9,1.9,16.5,30.0,45.2,50.8,36.0,32.5,43.8,32.3,65.9,55.9,46.2,92.9,31.1,37.7,22.9,16.7,33.9,19.0,12.8,2.6,1.3,2.3,-2.2,2.8,3.2,3.3,2.8,3.3,4.1,6.9,4.2,-2.7,1.1,-2.6,8.0,-1.1,16.0,17.5,4.2,3.8,6.1,5.1,0.5,2.8,1.3,-2.4,2.5,3.8,4.9,3.5,7.2,,Food and non-acoholic beverage
ISR,436,Israel,Inflation,Food Consumer Price Inflation,3.3,13.1,8.4,20.6,44.5,46.0,27.0,42.1,45.8,79.1,165.9,96.5,114.8,156.1,376.4,311.7,54.7,15.7,17.5,19.9,8.3,14.1,13.3,5.7,11.3,6.9,9.3,9.2,5.9,6.6,2.3,2.3,2.8,2.8,-0.6,1.7,5.1,4.1,12.3,1.1,2.5,3.3,0.5,5.2,-1.4,0.0,-1.3,0.0,0.9,2.1,0.0,1.0,4.3,,Food and non-acoholic beverage
ITA,136,Italy,Inflation,Food Consumer Price Inflation,4.3,4.2,7.2,12.0,19.6,19.7,19.0,17.5,13.0,13.8,15.7,16.1,15.3,11.7,9.2,8.8,5.4,3.6,3.5,6.3,6.0,6.4,5.0,2.0,3.6,6.2,3.9,-0.2,1.0,1.0,1.6,4.1,3.6,3.2,2.2,-0.1,1.7,2.9,5.4,1.8,0.2,2.5,2.5,2.4,0.1,1.1,0.2,1.9,1.2,0.8,1.4,0.6,9.1,,Food and non-acoholic beverage
JAM,343,Jamaica,Inflation,Food Consumer Price Inflation,6.6,6.6,4.8,24.7,29.2,17.7,8.9,9.4,36.8,33.4,33.4,10.3,6.1,11.8,28.6,25.4,17.7,7.4,9.5,19.7,22.3,54.8,77.6,21.1,38.4,20.3,24.1,7.9,7.0,2.3,7.0,3.2,6.6,9.1,14.3,19.4,6.3,11.9,30.7,13.0,10.1,7.7,10.8,12.5,8.6,7.8,4.0,4.5,4.1,6.3,10.8,6.7,12.0,,Food and non-acoholic beverage
JOR,439,Jordan,Inflation,Food Consumer Price Inflation,7.8,6.2,11.1,18.8,34.8,15.6,14.6,14.2,3.6,5.9,10.9,8.1,4.7,2.6,1.9,2.3,1.5,-1.5,5.5,20.8,20.5,11.1,3.0,1.9,5.9,2.3,7.0,6.6,4.0,-0.9,-0.7,0.3,0.2,2.6,4.6,5.1,7.4,9.5,19.8,1.7,4.5,4.2,4.6,4.2,0.3,1.1,-3.5,-0.4,3.2,0.3,2.3,0.1,3.4,,Food and non-acoholic beverage
JPN,158,Japan,Inflation,Food Consumer Price Inflation,6.2,6.0,3.8,13.1,27.7,13.0,9.1,6.7,3.5,2.1,6.0,5.3,1.8,2.1,2.8,1.7,0.2,-0.9,0.7,2.2,4.0,4.8,0.5,1.1,0.9,-1.2,-0.1,1.8,1.5,-0.5,-2.0,-0.6,-0.8,-0.2,1.0,-0.9,0.5,0.3,2.6,0.2,-0.3,-0.4,0.1,-0.1,3.8,3.1,1.7,0.7,1.4,0.2,1.2,-0.1,4.9,,Food and non-acoholic beverage
KAZ,916,Kazakhstan,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,2009.7,591.4,1847.5,163.8,34.8,6.4,4.4,7.4,16.0,11.5,6.8,7.0,7.7,8.1,8.7,12.2,23.4,13.9,9.0,7.8,4.3,4.1,6.7,6.6,12.8,8.6,4.7,8.1,10.4,10.8,19.2,,Food and non-acoholic beverage
KEN,664,Kenya,Inflation,Food Consumer Price Inflation,4.8,4.8,4.8,4.8,17.9,21.0,16.7,12.4,12.2,0.6,21.9,11.9,20.4,9.6,10.9,19.2,3.2,3.8,7.6,9.2,8.6,23.5,35.1,45.2,30.7,-2.2,8.2,15.7,3.6,3.9,10.9,2.4,1.4,16.3,19.0,14.6,27.9,10.9,35.1,27.8,18.9,20.5,10.0,7.3,8.7,11.4,10.1,13.4,1.6,8.0,9.1,8.4,12.2,,Food and non-acoholic beverage
KGZ,917,Kyrgyz Republic,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,966.0,161.2,40.0,41.2,24.9,10.5,41.0,18.5,5.7,0.2,2.8,3.2,5.3,8.8,1.8,-0.8,-2.2,2.7,-1.7,0.1,-0.2,0.9,-1.4,-0.1,2.5,-2.2,1.4,11.7,18.0,15.7,,Food and non-acoholic beverage
KHM,522,Cambodia,Inflation,Food Consumer Price Inflation,20.2,94.5,28.4,186.4,218.6,,,,,,,,,,,,,,,,,,,,,-0.9,7.6,6.7,14.0,7.6,-3.4,-2.0,1.8,1.5,6.4,8.4,6.5,10.0,33.0,1.7,2.3,6.1,3.5,3.9,4.9,4.0,5.6,3.4,2.5,2.1,4.6,2.8,4.9,,Food and non-acoholic beverage
KNA,361,St. Kitts and Nevis,Inflation,Food Consumer Price Inflation,18.3,1.3,17.0,17.0,31.0,8.9,12.0,21.2,17.7,11.0,14.2,11.0,3.7,2.2,2.9,-0.3,0.1,0.6,0.0,5.0,2.5,5.7,4.7,2.4,3.5,1.1,3.8,9.3,3.9,1.1,2.4,1.8,1.1,1.8,2.6,3.5,7.9,5.6,8.0,2.7,2.4,9.4,2.5,2.1,0.0,-10.7,-6.1,-0.1,2.4,1.9,1.3,0.2,10.0,,Food and non-acoholic beverage
KOR,542,"Korea, Rep.",Inflation,Food Consumer Price Inflation,18.5,18.5,13.4,2.7,27.5,31.8,17.9,11.6,16.3,14.0,26.6,27.5,2.4,1.5,1.4,3.7,2.2,3.1,10.6,6.2,9.9,11.0,5.3,3.0,10.2,3.0,3.0,4.0,10.1,4.5,0.8,5.1,4.8,4.7,8.1,3.1,0.5,2.5,5.0,7.6,6.4,8.1,4.0,0.9,0.3,1.6,2.3,3.4,2.8,0.0,4.4,5.9,5.9,,Food and non-acoholic beverage
KWT,443,Kuwait,Inflation,Food Consumer Price Inflation,15.3,15.3,15.3,15.3,17.9,13.1,6.5,7.1,3.4,5.0,6.4,2.4,7.0,2.6,-0.2,-0.2,0.3,-1.9,0.3,3.9,12.3,10.2,-2.5,-4.5,1.7,2.1,5.8,0.7,0.2,4.6,0.8,0.6,0.7,5.4,3.2,8.5,3.9,4.7,11.7,3.2,8.4,7.5,4.8,4.0,2.9,3.4,1.7,0.2,0.1,1.1,4.9,9.5,6.9,,Food and non-acoholic beverage
LAO,544,Lao PDR,Inflation,Food Consumer Price Inflation,-6.9,0.6,35.0,40.4,52.1,87.9,,,,,,,,,,,,,,64.0,30.4,10.8,11.7,-3.8,2.8,22.4,13.4,25.3,92.9,118.9,,6.6,9.7,15.2,10.4,7.7,,8.1,10.9,1.9,7.7,10.3,5.6,12.6,6.9,4.6,4.3,-0.1,1.2,4.7,9.1,3.0,18.8,,Food and non-acoholic beverage
LBN,446,Lebanon,Inflation,Food Consumer Price Inflation,-0.4,2.6,8.7,9.7,16.6,4.0,,,,,,,,,,,,478.4,134.1,45.7,57.1,42.8,80.4,17.0,7.5,7.9,8.5,-0.6,,,,,,,,,,,12.3,3.7,3.1,6.4,5.9,2.6,3.6,-1.1,-1.2,3.7,5.2,4.1,254.0,310.7,276.1,,Food and non-acoholic beverage
LBR,668,Liberia,Inflation,Food Consumer Price Inflation,1.2,-9.2,0.0,30.2,26.4,15.4,-0.6,9.9,11.3,11.6,9.3,4.1,4.3,2.7,1.7,-3.7,-1.3,0.2,19.2,9.6,13.8,,,,,,,,,,,,,,,,16.6,18.7,25.0,2.6,7.2,11.4,10.3,10.3,9.1,10.1,7.9,6.5,20.9,28.9,,,,,Food and non-acoholic beverage
LBY,672,Libya,Inflation,Food Consumer Price Inflation,,,-8.7,-8.7,7.0,7.2,12.7,12.2,11.7,27.9,,,,13.3,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,35.1,,,,,,,Food and non-acoholic beverage
LCA,362,St. Lucia,Inflation,Food Consumer Price Inflation,9.5,11.8,8.8,18.5,40.5,17.1,10.0,8.1,10.7,9.4,17.4,2.8,19.2,0.4,0.1,-1.4,3.3,11.3,-1.1,4.1,4.7,8.9,5.0,-0.6,4.9,7.6,-0.4,-2.6,4.2,2.9,1.2,3.2,-1.2,2.1,0.8,7.1,3.3,6.4,7.9,3.1,-0.2,2.7,6.5,5.1,2.1,0.2,-3.2,-1.5,3.7,2.2,-2.2,-0.1,5.1,,Food and non-acoholic beverage
LKA,524,Sri Lanka,Inflation,Food Consumer Price Inflation,6.8,1.8,6.0,12.7,14.1,7.7,-1.1,0.6,16.8,10.9,29.0,17.6,12.7,12.4,18.1,0.1,7.2,8.7,15.1,10.3,23.3,11.9,11.9,11.2,8.9,6.9,19.2,10.9,10.9,4.0,4.5,15.2,10.6,5.8,7.8,12.1,13.2,18.2,30.5,2.8,6.8,,,,13.8,5.2,3.1,11.3,-0.2,0.7,12.2,11.2,60.2,,Food and non-acoholic beverage
LSO,666,Lesotho,Inflation,Food Consumer Price Inflation,15.2,15.2,15.2,15.2,15.2,18.1,10.8,25.3,15.4,9.2,23.9,13.0,13.6,18.3,10.5,12.9,17.8,12.7,9.8,11.2,11.4,18.3,23.6,10.4,6.2,12.7,9.6,9.3,9.0,7.5,4.6,6.5,26.6,5.6,4.0,2.6,9.0,14.1,15.7,8.5,3.5,7.0,9.9,5.4,5.3,6.1,11.8,6.4,4.4,6.8,10.3,9.6,8.6,,Food and non-acoholic beverage
LTU,946,Lithuania,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,1.7,4.6,0.8,-0.1,2.3,7.7,5.9,-0.8,0.1,0.1,217.6,1086.5,421.4,59.6,40.2,27.7,6.1,-0.1,-4.0,-2.4,3.5,-0.7,-3.7,2.2,3.9,6.1,11.3,15.9,1.6,-0.5,8.3,3.0,1.7,0.8,-0.9,1.2,3.6,1.4,2.9,2.3,2.8,26.3,,Food and non-acoholic beverage
LUX,137,Luxembourg,Inflation,Food Consumer Price Inflation,5.1,3.5,6.7,7.1,9.0,11.3,12.1,4.0,1.5,2.6,3.6,8.4,10.6,7.9,7.3,3.6,2.9,-1.3,1.1,3.3,3.2,3.1,0.7,-0.3,1.8,2.4,0.8,1.1,2.7,1.2,2.0,4.8,3.9,1.9,1.8,1.6,2.4,3.4,5.4,1.4,0.9,2.6,2.6,3.6,0.6,0.8,1.5,2.8,2.2,1.4,2.7,0.9,7.0,,Food and non-acoholic beverage
LVA,941,Latvia,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,178.8,774.0,90.5,33.3,16.1,12.4,2.5,1.3,-1.1,0.6,4.9,3.4,2.6,7.4,9.2,8.2,13.5,18.3,-0.1,-0.3,8.4,2.3,1.3,-0.3,-1.3,1.1,5.6,0.6,2.9,2.4,2.2,21.6,,Food and non-acoholic beverage
MAR,686,Morocco,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,1.2,1.4,2.4,2.2,-1.2,2.6,2.8,0.0,0.9,-1.4,0.9,0.6,10.4,,Food and non-acoholic beverage
MDA,921,Moldova,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,1337.0,1318.4,453.0,29.6,19.5,7.0,4.0,32.7,36.4,10.7,4.3,13.6,12.7,10.6,9.1,10.9,15.4,-5.6,6.3,8.9,8.9,-0.2,-0.2,0.7,-0.9,0.5,5.5,7.6,7.4,7.1,29.9,,Food 
MDG,674,Madagascar,Inflation,Food Consumer Price Inflation,5.5,7.1,6.7,6.7,15.6,13.7,8.9,9.4,7.3,11.1,15.2,26.7,39.3,28.9,7.5,4.6,12.6,21.1,21.7,10.5,13.8,7.9,10.9,14.2,29.2,44.1,24.7,10.2,16.9,8.7,11.3,1.9,15.0,-3.7,19.3,26.4,6.2,11.8,10.4,8.3,6.4,13.5,5.2,5.0,5.4,6.5,6.4,9.3,10.9,4.8,3.8,7.4,9.6,,Food and non-acoholic beverage
MDV,556,Maldives,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,1.9,2.7,6.6,12.7,14.5,17.9,3.9,12.0,9.3,19.5,-4.7,4.2,-4.8,2.1,3.6,-6.1,16.0,2.1,4.0,16.2,19.1,0.5,7.5,19.9,17.6,7.2,0.7,0.5,0.6,6.1,-1.1,-0.8,2.7,1.8,-0.8,,Food and non-acoholic beverage
MEX,273,Mexico,Inflation,Food Consumer Price Inflation,5.4,4.4,4.1,15.6,30.9,12.4,12.2,28.9,16.5,18.6,25.2,25.8,53.4,89.4,75.5,59.8,84.8,130.9,110.4,21.6,25.9,19.3,10.7,5.5,4.7,39.6,42.3,19.1,16.0,15.7,5.4,5.1,3.8,5.5,7.2,5.4,3.7,6.6,8.1,8.8,3.3,4.4,8.1,5.2,4.7,4.0,4.5,7.0,4.8,4.4,6.6,7.2,13.3,,Food and non-acoholic beverage
