Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note
BFA,748,Burkina Faso,Inflation,Food Consumer Price Inflation,5.4,4.9,-0.1,21.5,15.2,38.4,-4.5,28.3,3.9,16.8,5.6,15.9,,4.4,9.7,3.2,-7.7,-11.3,11.5,-4.2,-1.4,9.6,-7.5,-5.6,17.7,11.8,15.4,2.5,9.3,-6.1,-5.8,8.8,3.1,-1.7,-4.8,14.6,-0.2,-1.7,23.3,2.6,1.5,6.1,5.4,-0.4,-3.2,2.4,1.0,0.4,3.4,-6.4,3.8,6.8,25.2,,Food and non-acoholic beverage
BGD,513,Bangladesh,Inflation,Food Consumer Price Inflation,2.3,10.1,34.0,47.4,68.6,20.8,-10.9,9.3,11.5,14.7,15.7,11.5,13.1,9.3,12.8,9.7,13.5,10.4,6.5,8.8,5.9,6.1,3.6,-2.2,3.8,9.0,3.4,6.6,10.5,8.1,2.0,1.2,2.0,5.8,7.5,8.0,7.6,10.5,11.0,5.5,10.1,12.4,3.4,7.9,7.9,6.1,4.5,7.2,6.2,5.6,5.8,5.3,7.4,,"Food, Beverage & Tobacco"
BGR,918,Bulgaria,Inflation,Food Consumer Price Inflation,-0.3,0.2,0.0,0.9,1.1,0.6,0.5,0.2,1.2,6.2,24.7,0.2,0.7,3.0,1.5,2.2,4.3,0.0,1.4,1.9,1.9,374.6,74.8,56.2,91.6,59.8,122.7,1097.0,11.1,-8.0,10.2,6.5,0.0,-1.0,6.7,4.0,5.4,13.4,16.7,-0.6,-0.4,6.9,3.0,2.8,-1.0,0.3,-0.2,4.0,2.2,5.2,5.4,2.8,20.2,,Food and non-acoholic beverage
BHR,419,Bahrain,Inflation,Food Consumer Price Inflation,,,,,,,13.1,13.6,10.5,2.2,5.9,4.1,-1.7,-2.8,4.1,,-0.4,-4.3,-1.0,0.8,0.1,2.1,0.1,-0.3,-1.0,6.2,0.5,,1.1,-1.0,-1.3,-1.4,-1.0,-1.5,2.2,3.0,2.0,4.5,10.9,9.0,4.9,2.0,4.0,2.4,2.9,2.4,1.3,1.0,2.1,2.4,3.5,-0.1,10.0,,Food and Non-Alcoholic Beverages
BHS,313,"Bahamas, The",Inflation,Food Consumer Price Inflation,4.7,4.8,5.4,5.4,18.7,11.6,2.9,2.0,8.1,10.9,15.2,14.9,6.7,1.3,1.6,5.5,12.8,4.8,6.4,5.4,7.7,8.6,2.1,0.8,-0.6,2.1,2.6,1.6,2.2,0.2,1.7,2.1,2.0,0.5,2.0,3.3,4.6,3.9,7.1,5.0,-1.2,1.9,,1.1,2.3,5.8,-0.9,-0.1,2.4,0.2,1.0,2.1,,,Food and non-acoholic beverage
BIH,963,Bosnia and Herzegovina,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,8.3,2.9,11.6,0.0,-0.1,6.0,1.8,0.0,-2.7,-0.9,-1.0,1.0,0.4,1.1,1.0,3.5,20.3,,Food and non-acoholic beverage
BLR,913,Belarus,Inflation,Food Consumer Price Inflation,0.2,0.0,0.1,0.1,0.3,0.1,0.2,-0.1,1.3,0.5,0.5,1.4,4.0,1.6,0.0,1.8,6.2,4.5,0.0,0.4,2.9,88.5,1053.4,1415.1,2373.5,661.8,49.6,69.9,75.8,312.7,164.9,56.8,38.9,22.8,19.6,11.9,6.1,9.8,17.7,14.0,9.1,62.2,68.0,18.8,18.7,12.2,10.6,7.0,4.1,6.4,4.3,9.6,16.7,,Food and non-acoholic beverage
BLZ,339,Belize,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,8.0,5.5,4.4,2.9,0.5,0.3,1.7,3.3,4.2,2.2,6.1,3.0,1.6,1.1,2.7,6.4,1.8,-1.0,-1.7,0.6,-1.1,0.5,3.2,1.7,3.5,3.4,5.8,13.9,1.2,-4.0,0.4,2.4,1.5,0.8,-0.4,0.1,-1.1,-0.5,0.6,1.1,4.8,6.8,,Food and non-acoholic beverage
BOL,218,Bolivia,Inflation,Food Consumer Price Inflation,4.5,4.0,6.4,35.0,81.7,5.3,2.4,8.2,10.0,18.6,47.6,35.2,123.9,303.7,1315.6,11275.6,276.7,10.3,11.4,14.4,18.7,21.7,13.4,6.7,9.0,12.0,14.3,3.4,5.4,-1.6,2.1,0.6,-0.9,3.5,6.0,5.8,5.8,14.6,25.6,1.3,2.9,13.9,3.9,8.9,8.1,4.6,5.5,3.3,2.5,3.4,-0.7,0.6,1.4,,Food and non-acoholic beverage
BRA,223,Brazil,Inflation,Food Consumer Price Inflation,26.0,24.9,21.5,18.2,30.5,30.8,39.6,40.5,,,100.2,49.8,90.9,158.6,204.2,221.1,131.6,196.8,653.1,1345.1,2618.2,450.0,1090.6,1949.8,2280.1,58.5,5.9,0.7,2.8,3.4,5.1,6.7,9.7,20.4,4.0,3.1,0.0,6.8,13.0,5.8,6.1,8.8,8.1,11.2,7.5,9.8,12.5,0.9,0.9,4.9,9.1,12.7,11.5,,Food and non-acoholic beverage
